,reviewerID,reviewContent,rating,usefulCount,date,reviewerID,firstCount,reviewCount,Filtered
#NAME?,IXUeKSqli1tW-I-0utd9KA,My sisters told me at a very young age that when buying a girl a gift you can never go wrong with things that come in little blue boxes. I took that advice to heart and have been making girls happy as I can be ever since. If you know me then you know that if you are dating me around your birthday valentines day or christmas your going to get hooked up with some Tiffany's bling You can ask all my ex's even the ones that hate me they will tell you they have made out especially at Christmas. This year is no exception except I have no one girl to buy a buying a bunch of presents. So I am buying a bunch of gifts for a couple of special girls. Usually I make three or four trips during the holidays and today was trip number one of  many to pick up a few things. There are all kinds of grea,5,1,12/08/2011,IXUeKSqli1tW-I-0utd9KA,6,51,0
#NAME?,3zxy3LVBV3ttxoYbY4rQ8A,If you think being past out in the backseat of a cab is proof of a kick-ass night well you're wrong. To end the night with a bang you MUST go to Mai's Restaurant for a late night snack (read: feast). It's also a good choice for lunch/casual dinner. Entrees are served family-style (big plates serving spoon) so sharing is encouraged. Top picks: Start off with spring rolls served with mounds of fresh greens (you'll need that extra hydration boozehounds); Vietnamese egg rolls steaming hot crispy goodness with a side of jalepeno-adorned fish sauce; garlic beef (or chicken) infused with soppy sauce veggies and piles of fully-cooked and soft garlic cloves--almost as savory as the meat--and of course fried rice. For the faithful Tex-Mex fan they event have a Vietnamese carne gisada. Yo,4,7,5/13/2008,3zxy3LVBV3ttxoYbY4rQ8A,151,1011,1
#NAME?,G0FGeAGBj7IUFgCidXaSqg,I loved Daytons. I was peeved about Fields. I was totally bummed with Macy's. In general this place is crap BUT it is the only place in MN to get the Thomas Pink Shirts and for that reason alone I must support it. What can I say I'm a sucker for my hubby in PINK.,3,5,9/06/2008,G0FGeAGBj7IUFgCidXaSqg,137,548,0
#NAME?,XYSDrIef7g4Gmp3lNFVO6A,BJ's recently opened a location over in Virginia Gateway in Gainesville VA. I received an invitation in the mail for a two month trial membership - so I went in to check it out. I had the option of signing up for a year beyond the 2 month trial membership for $40.00. If I waited for the 2 month trial membership to expire and then make a decision on membership - at that point the price would be $50.00 for a year. So I went ahead and signed up for the year - which means I have 14 months for $40.00. Because the place is so new the place looks nice and clean. I went and stocked up on things like bottled water dishwasher detergent and dishwasher drying agent. The one thing I will ding them on is their Membership Services area seemed a little disorganized. There were five people behind the c,4,2,3/25/2012,XYSDrIef7g4Gmp3lNFVO6A,1388,2530,0
#NAME?,iv_QXg5Zqlw72hqS-le6Bw,After a long night of being the designated driver and driving my drunk friends back home...i stopped at Mobil in Cromwell for gas when i went inside they had just stocked the donut case and they looked amazing. Asked the clerk where they were from and he said Sugar Shack in Manchester..... These were some of the most incredible donuts ever...beats anything else in the state hands down.,5,1,10/24/2010,iv_QXg5Zqlw72hqS-le6Bw,45,306,0
#NAME?,A3Rahgq3ufx81IjbEfAbGg,I wish I could give another star but was disappointed in the service. The staff is great and friendly we were just there for about 2 hours just to eat breakfast. Thank goodness they served us a mini-muffin prior to our order coming out I was hungry! My friend and I went in and let them know we were going to sit outside. They noted they would be right out to service. We waited about 15 minutes. Once we placed our order we had another friend join us about 30 min later and place an order. Our third friend got his breakfast in a matter of 10 minutes. It was over an hour later when they noted they messed up our order (cook staff was looking at tables 1 & 2 vs. our table #12) ....something to that effect. We had ordered the Southern Comfort breakfast - Chicken Fried Steak 2 eggs hashbrowns,3,0,7/09/2012,A3Rahgq3ufx81IjbEfAbGg,14,396,0
#NAME?,bTlonpHjT0p7gF8Ex9XlVw,I always get great haircuts here and I have difficult hair.  The shop is unpretentious and there was no waiting.  Natilee takes the time necessary to do it right. The only thing that would make Natilee's better for me is if her shop was closer to my office.  Still the drive is worthwhile. Call to make an appointment and don't be late.  Natilee runs on-time and works fast. Final thoughts:  If you don't already know who Steve McQueen was and what he's famous for you might want to brush up on that before you go.  You'll still get a killer haircut but the conversation will be more interesting if you're conversant about Steve. P.S.  Natilee does great work at a very reasonable price so tip well.,5,1,8/05/2011,bTlonpHjT0p7gF8Ex9XlVw,7,71,0
#NAME?,mffer6ORgLqxB8ZeemxmHQ,I attended a funeral reception here recently and it was exactly what you would expect and nothing more.  In writing this review I realized that places like this exist for funerals.  It was interesting that the place had 2 funeral parties going on at once.  It doesn't matter how good the food and the atmosphere are when you are gathering people for a quick funeral meal.  For that I retract a few of the previous comments.  The meal was average but it was served by people who really seemed to care that we were happy and enjoying ourselves.  The the bartenders and waitstaff were incredibly nice.  The gentlemen at the stale cigarette-smelling bar kept us all happy. The appetizers were deviled eggs and sausage in a brown gravy.    The meal was a variety of sides beef and gravy and roaste,2,1,8/20/2012,mffer6ORgLqxB8ZeemxmHQ,23,184,0
#NAME?,XeaO7K7faXC6XcGMCe5KmQ,is there really a lazy river here,3,1,1/11/2008,XeaO7K7faXC6XcGMCe5KmQ,12,61,0
#NAME?,IhmBr-yHC8xLjdnoq7O37w,"Well I drove an hour into Boston for their Japanese hot dogs and despite that being their main source of revenue (they have about 15 to choose from) they were out of hot dogs.. and sausages.. So.. I guess all I can review is that a hotdog joint ran out of hotdogs. And I couldn't understand a damn word she said other than we have no more hotdogs or sausages"". Luckily there's plenty of other good food in Chinatown.""",3,0,4/25/2012,IhmBr-yHC8xLjdnoq7O37w,278,1167,0
#NAME?,UxV5zj-rLO-KT3bgZxytVQ,I know I've already reviewed Carlos & Pepe's but I do have to say - coming from someone who grew up in California: that this is the most delicious most authentic Mexican I have ever had in Florida.  The service could use a little tweaking but no one is perfect.   I wish they were open for lunch as well!,5,0,Update - 7/25/2011,UxV5zj-rLO-KT3bgZxytVQ,7,112,0
#NAME?,_crXbz-jmEjkyyT95SAwug,I've been going to The Works since I can remember.  My grandfather used to own a business that was right next door to the works and because my brother and I would constantly be with my grandparents The Works would be a hangout spot for us.  I remember getting their cheese fries and their vanilla ice cream and having the only woman who was ever behind the counter take a bite of it before giving it to me. Now after 18 years I still go back every now and then for their gyros and their cheese fries.  The gyros are carved off the spit as soon as you order it and then put on the grill for a couple of minutes or so giving the pieces a nice crisp edge.  With their tzatziki sauce tomatoes and wrapped in a warm pita it is the perfect lunch or dinner.  Their cheese fries taste the way I always r,4,2,7/10/2011,_crXbz-jmEjkyyT95SAwug,4,61,0
#NAME?,NZba-Q-Fp10iF77CTQt24Q,QuikTrip is great for sooo many reasons. * All of their stores are always clean and well lit. * You get greeted when you walk inside. * They take checks (seriously this comes in handy every once-in-a-while). * Gas prices are usually the lowest in town. * All of their fuel products are guaranteed although I'm not really sure what that means. This location is just over the train tracks in Vinings about a mile from I-285. It's usually really busy but you can get in and out easily. Careful trying to make a left-hand turn out of here because it gets tricky during rush hour.,5,7,9/22/2009,NZba-Q-Fp10iF77CTQt24Q,270,932,0
#NAME?,oMEpAhyxo-2QBxN2mPvn-w,This is a well-run sonic. It's in a good location (by Arby's and Lowe's) and the food is always fast and fresh. The only complaint is that they don't have a drive thru but the service is usually fast so it's not really a problem.,5,0,4/18/2012,oMEpAhyxo-2QBxN2mPvn-w,94,321,0
#NAME?,VHaUQSMvMOZiBXKlSewGgg,Let me preface this with I have NOT had their pizza however the reason for the review is their delivery drivers....I witnessed one cut off a driver nearly causing a multi car accident! Then several weeks later my sister calls me very shaken up because she was cut off by one of their drivers. She had to swerve to avoid getting hit and ended up off the road with her 2 year old in the car! I understand people want to get their food fast but there's a fine line between fast and reckless these drivers are reckless!,1,0,3/15/2010,VHaUQSMvMOZiBXKlSewGgg,5,46,0
--S8K-2VFaiRE0E417mFJA,8NhB1izDL08RFQL3OmxUuw,Food is great and innovative.  Have yet to be dissapointed.  Gets quite busy at times.  Not all servers were great but none the less I am happy.,4,0,3/10/2011,8NhB1izDL08RFQL3OmxUuw,25,152,1
#NAME?,bYENop4BuQepBjM1-BI3fA,The IHOP in my neighborhood closed after 50 years and we kind of miss them for a cheap breakfast. I wish they'd tear down the old building and build us a new one like this location. The inside is more modern but still very compact and tight. They make use of every inch but doing so puts the tables close together. It also makes the table tops small and crowded once your food arrives. However IHOP serves up a good cheap breakfast. Their Breakfast Sampler gives you everything you'd want for your morning meal. You'll enjoy two of everything; eggs your way bacon sausage ham pancakes and a hearty side of hash browns.  It's almost too much food I always bring some bacon and sausage home for the dogs. I like my Hash Browns extra crispy and today when ordering I forgot to mention my quirky ,4,3,10/17/2012,bYENop4BuQepBjM1-BI3fA,90,451,0
#NAME?,-3s52C4zL_DHRK0ULG6qtg,The inside of this place seems awesome. a little bit cleaner than most targets that I have visited. The reason for the lower rating is the parking situation. There is a parking garage and a lot. The lot has walk-ways to get to and from the store to your car and the car returns are in odd places. Maybe I just have never seen a place like this before but it will take some getting used to.,3,0,1/01/2012,-3s52C4zL_DHRK0ULG6qtg,106,1032,0
#NAME?,hHCPZz3qXDTo1rX_ZC9ZKA,Preppie Paradise.   The crocodile is back!  It's a little smaller in size but just as charming.  Or perhaps more.  As I was leaving the store the cashier rang up a customer's bill.  Over $2000.   It's medium sized store but I found a lot of adorable pieces too.  Most items range from $75-$125 each.  The current women's collection is overwhelmingly pastel heavy.  I would advise any female more than 30 pounds overweight to avoid this season's selection unless she wants to look like a lumpy Easter egg with legs.  (Hey I'm just trying to HELP you.  I can't pull off every look either!) Everything in the store is neatly folded  hung or displayed.  Many items come in a variety of bright colors.  (Would you like pastel pastel or pastel?) Don't worry if you suffer from any of the following,3,12,4/17/2007,hHCPZz3qXDTo1rX_ZC9ZKA,92,173,0
#NAME?,vrLS2nLGDzSrlMgSGzh-UA,Excellent doctors and awesome staff... Highly recommended...,5,0,12/07/2010,vrLS2nLGDzSrlMgSGzh-UA,10,108,1
#NAME?,Ai7ZSET9dbL-h1qUdcyC5Q,I love options. This place has them. I never ever ever skip the opportunity to try a Mexican place when suggested and recommended by a friend or family member. My mom knows good Mexican and she brought me here. I must say I chose simple tacos al carbon (al pastor - with onions and cilantro) and they were quite delicious. Of course I had to stab my fork into every ones plates to taste what they were having (fajitas tamales etc) and the guac was fan-flippin'- tastic. Is it because I love avocado's in all their delicious green forms? I do not know maybe. You try it and tell me if you agree.,4,1,5/12/2010,Ai7ZSET9dbL-h1qUdcyC5Q,316,1146,0
#NAME?,1eqy55tfazEXqDvGq2LDFw,Disclaimer: I have a love hate relationship with this place... but for mostly personal reasons. Open Mic night on Mondays and live music throughout the week is pretty cool. On Mondays a lot of local bands will be up on stage doing their thing. Bartenders are quick and the prices are cheap. I strongly disagree with pregnant people (bartender on duty) taking shots... hmmm something about being prego and drinking just doesn't sit right with me... Overall a dive bar with a fun crowd.,3,0,7/05/2011,1eqy55tfazEXqDvGq2LDFw,157,316,0
#NAME?,bx5BUrrQVkbqcPu0IyLKRQ,We went here last night after a long hiatus.   I have to say that I have been to far better F&H locations in DFW. This location has a smoking room but the main room seems to smell anyway.  Infact I left with a sore throat and Hubby woke up with one this morning. Perhaps it was b/c we were screaming over the spotty music.  Pearl Jam POTUSA Oasis = yes.  Everything else = no.  Bonus points for music videos remember those? Hubby ran into an old football college buddy so we were a party of three last night.  We shared cheese fries which suited us as dinner and I woke up not even hungry for breakfast. Major portions here. Why was I carded to get in when the white trash family that entered an hour later was able to bring in a 6 month old?  That is quite underage. Clean bathrooms rotating da,3,4,7/29/2010,bx5BUrrQVkbqcPu0IyLKRQ,63,353,0
#NAME?,bdHbRb8k9Nl18W7UBH37aQ,Everything went well as planned.  Comfort and information was provided.  Couldn't ask for more as far as shoulder surgery is considered.  Dr. Snyder was great.,5,0,12/27/2011,bdHbRb8k9Nl18W7UBH37aQ,43,260,0
#NAME?,uLhyw1b1gX6FREf6L4cRmQ,UPDATE: Rocky's has unfortunately gone under new management (again) and have regrettably become inedible. To begin with the pizza has no sauce the cheese tastes like plastic and the service is sub-par to mediocre. I can tell that the new owners want to make the business successful but at the cost of sacrificing quality? Come on! Looks like the quest for a pizza joint lingers on... :-(,2,0,Update - 10/7/2010,uLhyw1b1gX6FREf6L4cRmQ,46,94,0
#NAME?,u5lzUAnMRYCSgxGCKmFkug,FOOD:  is excellent high-quality and tasty all around.  The pot pie chicken salad sandwich minestrone soup and all desserts especially the frosted mocha are great. SERVICE:  is always friendly and competent even when things are bustling which is often the case.  My only small complaint is that they close way too early on Sundays (5:00 pm!). AMBIANCE:  there is ample indoor and patio seating and its open and airy.  It's an educated and hip crowd. VALUE:  is decent given the location and what you get.,5,0,11/30/2011,u5lzUAnMRYCSgxGCKmFkug,30,219,1
#NAME?,Bx6Tz_TJDS7KB5jX123haA,I believe this to be the best BBQ in the entire state of South Carolina. I've had several others that were also great (Shealy's Palmetto Pig etc.) but this one is #1. Their hash is by far the best I've ever eaten. My family makes special trips an hour away just to pick up from here.,5,0,12/28/2010,Bx6Tz_TJDS7KB5jX123haA,13,177,0
-05uX5pInADEBUB5ycY_Rg,WKpzoB_oom4OSEe703-uxw,The food and service were excellent.  Best Tex-Mex outside of Texas. Everything about this meal was perfect.  From the delicious chips and salsa to the entrees.  I'm not a fan of food made spicy for the sake of being hot.  Both of the salsas and the queso had a spicy flavor without being hot. One of the highlights was the three Shiner beers on tap: Bock 102 and the Ruby Red.  All fresh and cold and only $5 for 20 oz. We had two entrees: the barbacoa special and the enchiladas.  I've never had better.  Usually enchiladas are just a mess of cheese and a sauce.  These were flavorful and bite after bite you could taste the distinctive flavors.,5,0,7/30/2011,WKpzoB_oom4OSEe703-uxw,29,142,0
-06BGe_mB_Tec-kfoDhmqA,pW9LvtC-hZ0PRAOUn7aZ2A,I love the Hippo. A local free art/food/entertainment liberal weekly paper that covers southern New Hampshire. I like that it offers the arts and I can find out about concerts and new restaurants in the area. Its not very gay or have many gay establishments advertised. That kinda sucks but again I like how it connects me to my not so gay community here in Southern NH.,5,1,1/31/2008,pW9LvtC-hZ0PRAOUn7aZ2A,834,1463,0
-09Ql0caZSiSFseCn8cpTA,ZzA0SBWKSRJA8y5tlszrjQ,Its such a fun place! with GIANT TV screens all around and so much activity every night of the week and even at lunch hour this is such a fun place to check out. Beware however its really tough to get a seat on game night. the food is pretty good  - way above regular bar food. The sliders are terrific and the wings are voted one of the best in the city and they are pretty great!! I hear you're able to connect your iPod in to one of the booths and listen to your own music - need to try next. If you're a sports fan - you'll be coming back here again and again!,4,2,10/11/2011,ZzA0SBWKSRJA8y5tlszrjQ,2,65,0
-09QqbVwjl5veEkmAI8xRg,I7YQFiIsO82eliq8nqsLfA,Ok if you are looking for something that screams Richmond check out Plaza Bowl on a Friday night.  They have pool tables live local bands playing on a stage set up in the center of the alley cheap pitchers of beer and of course duckpin bowling. Duckpin bowling is apparently a dying sport... unlike regular bowling duckpin has more pins and smaller balls. Oh also you get three balls for each turn.  You need all three though- those pins are small and hard to hit!  There are only a few alleys left in the United States that have duckpin bowling and apparently Plaza Bowl was about to close when a heroic local citizen stepped in and saved it.  He is now trying to renovate it little by little so he asks that you do your part by not trashing the bathroom and paying a cover charge to get in,4,4,5/25/2010,I7YQFiIsO82eliq8nqsLfA,192,523,0
-0e1Z8k-UX06RB_UDsTQYg,ZgeWnIGQZt8y2q0dWwrgIQ,On a Sunday Night at 7pm with a restaurant only half full should not result in a 2-hour meal no matter how fabulous the owners think they are. It took 15 minutes just to get a waiter to take our drink order. Another 15 and he was back with the drinks and took our food order. PATHETIC! $32.00 for a 6oz piece of RARE Salmon & $39.00 for 5 12-15 count shrimp with 5 pieces of fettucini is just idiotic. You first have to become a 3-Star venue let alone 4 or 5 to be charging these prices. Definitely not the type of place that should be associated with Hard Rock.,2,1,2/16/2010,ZgeWnIGQZt8y2q0dWwrgIQ,1,20,1
-0ecBdKLJafWjxg00sUpUA,wzyGNvArcpUjZauRWFrKHA,Can't comment on wine alright so cut me some slack.  But seriously folks I was looking for a specific beer LA-31 Grenade and darned if Sidney's didn't have it.  Not only that they poured it in a cup for me so I could drink it. Furthermore they had some old-ass Russian vodka sold in a bottle shaped like a rifle!  Guns and booze! What's cooler than that. This place is the shizz yo.  They have mad beer and stuff.  GYATTP. BT out....,3,0,1/13/2012,wzyGNvArcpUjZauRWFrKHA,23,494,0
-0EuzulIdr4gkG9ZqP93xw,Sf2foJo2qBAGHQRTimVFSw,Please note:  The review is not a review of their beer or their company.  It's a review of the brewery tour.  I love their beer and the company. Dear St. Arnold's: It has finally happened.  You've gotten too big and too popular to conduct the tours the way you used to at least on Saturdays.  The place is so crowded that the A/C can't keep up.  Getting a sample requires standing in a line that's nearly back to the entrace.  People are set up on blankets all over the place making it hard to walk around.  It's not your fault per se but it does mean that a little more structure is going to be required before I'll go back on a Saturday. I have been on brewery tours all over the country - Miller A/B Leinenkugel's Henry Weinhard's... this is the only one that's basically controlled (and ,2,6,7/24/2011,Sf2foJo2qBAGHQRTimVFSw,7,107,0
-0FEMWI_2s1cgNZcz5fijQ,5ITdf0mnklCpIUenv-5LWw,After visiting the Crown Hill Cemetery my friend and I went to see Inception at this movie theatre.  Matinee prices were fair the place was not full (probably due to the Brickyard 400 qualifying events in town??) temperature was just right and popcorn was fresh.   Since this theatre is less than 10 minutes from my home I'll be back.,4,2,7/27/2010,5ITdf0mnklCpIUenv-5LWw,68,478,0
-0HaxXVHsb5QZ1vc4tmWBQ,aKY4eFOJeCaXnw1jGPozTw,My favorite part of this restaurant is in the summer- great for hangout in the back deck.  My husband really likes to watch the planes land.  The food is okay.  I got the Salmon and it was not presentable at all- alittle pricey.   Staff is friendly and service fast.,4,0,1/15/2012,aKY4eFOJeCaXnw1jGPozTw,154,678,0
-0I0vsOsukzasyo6e761jw,MInp33w5vvHeBo68BAPmgw,This high-rise hotel is about 3 blocks from nasty Bourbon St.  Hilton hired the best valets I've ever experienced. The doorman must have been Houdini in another life -  he packed the car trunk that well.  Check-in & out was seamless and the room price was very good for an urban property.  The room was HUGE even by American standards.   I'd definitely return here assuming anyone can provide at least one intelligent reason to return to the City of Lost Souls.,4,1,7/05/2010,MInp33w5vvHeBo68BAPmgw,158,567,0
-0iLH7iQNYtoURciDpJf6w,7dwh3pL2tbSeSvL0qLzUrw,"I forgot when Cheesefake factory turned from a family style restaurant into a snooty upscale"" italian style restaurant. Whenever it was it was a day that will forever be labeled as a catastrophic error in strategy. Your business model is not impressive. You way overcharge for food thats quality is essentially macorni grill and you are the baker's square of cheesecake. That means you should be somewhere in those caliber of dining establishments. Prices and light fixtures are unable to convince me otherwise.""",3,0,8/18/2011,7dwh3pL2tbSeSvL0qLzUrw,24,461,0
-0ItsF8sWNhvAacUgOQZbQ,2p35UrsLuMspndW5lZjJgQ,All im going to say is OMG.. So beautiful.. Such detail in everything...  From the floors to the ceilings.. The tour was excellent.  The tour guide was very good. All the people working there are very friendly. The views from the hilltop overlooking the bay are amazing.. I would definitely recommend this to anyone driving up there. FYI...only thing its not really that good for elderly folk..  Too many stairs to enjoy it all.,5,0,9/07/2012,2p35UrsLuMspndW5lZjJgQ,57,436,0
-0iWmUxSScG6taGJIv4kFA,2p35UrsLuMspndW5lZjJgQ,Cheap gambling cheap table games...this is place you go to learn without busting a nut i mean busting your wallet while learning how to play... Not only that but besides driving further down to downtown this is place has the cheapest coronas and heinekens at $2 a pop and cheap and pretty decent food for when your broke. They also have a Subway... Oh and now they have this lounge act in the back and oh my god... Think of its a section of the back part of the building were they have a little stage and they have this one man band guy singing... guy was pretty cool and was all into his act... You need to check this out!!!,3,4,7/13/2010,2p35UrsLuMspndW5lZjJgQ,57,436,0
-0jchxHW7929QMhookGtzA,nt143HoSFyPLsVNaI1fGrQ,"The thing with El Charro - is that I am giving it a 2-star review and yet I continue to go back.  I know it's not great food... but something still draws me in. The thing I love about El Charro - is the soft taco shells and their deep-fried puffy goodness.  I know they are bad for me but they taste so good - I am even one of the freak-shows who orders the fondue at El Charro's just so I can get a basket of the soft taco sticks. That said I don't think I am ever really happy with or wow""ed by anything I order here.  The burritos and enchiladas are pretty flavorless... as is the taco meat that they use.  The entrees come with salad or cheese nachos -  the cheese nachos consisting of 4 of the chips that are already complimentary that have melted cheese and 1 jalapeno on each.  Go with the""",2,4,2/15/2010,nt143HoSFyPLsVNaI1fGrQ,49,266,0
-0jddDDkxvL8ugI3UCkeOA,G7tZEGH2UeYasoFjKXqJcQ,Boasts international flavors.  Started with the cheese ans sausage soup topped with a few kernels of popcorn.  Interesting touch and complimentry flavors.  Light soup not heavy cheesy.  Also ordered the falafels which came atop salad with a light tangy yogurt dressing.  The spices in the dense falafels were superb.  I like my falafels more dense and meat-like and this was right on.  Didn't taste too fried or cornmealy. The tab came with a dark chocolate truffle bite.  Mmmmm.  Before I give more than 3 stars i'd need to try dinner.,3,0,7/20/2011,G7tZEGH2UeYasoFjKXqJcQ,13,103,0
-0KHkj4f1WCoQoEuj5UIcw,Egu4qSFR56EhGuTHZTaVjA,Brother Sebastian's offers a unique perspective on a steak house. And with menu items like frog's legs and baked alaska it definitely keeps you guessing. Unfortunately I wasn't overly impressed with the quality of the food. And because that's one of the main requirements for me to repeat-visit a restaurant I probably won't be going back on my own accord. Still it's a classic local steak house that's worth a try at least.  Everyone's taste is obviously a little bit different the over 60 crowd that was a majority of the clientèle while we dined seemed to be big fans.,2,1,4/13/2009,Egu4qSFR56EhGuTHZTaVjA,133,725,0
-0L2HKDr1wZ0tnYTv0op-w,9Cqfe9nx6CtB6nkBx3JvsA,Still fast food but tasty and a variety of options for your diet or personal preferences.  I tend to sway towards their veggie options as they're more unique that what you find at a regular sandwich shop. Agree with the previous recommendation on the kids meals -- they kind of suck.  You're better off buying a regular sized (kid friendly) sandwich like the Elvis then cutting it in portions. Staff is always extremely friendly & seems to enjoy working there.  You can sign up on their website for coupons free birthday meals etc. Not a bad option if you're in the Cool Springs area and want a quick & simple meal.,4,2,7/15/2011,9Cqfe9nx6CtB6nkBx3JvsA,17,147,0
-0ltqmWDlgpvez6kySh6Fg,VbNMQwizyLjSGeS8u70XIQ,I went here after a gallery opening prepared to be impressed since everyone in the crowd of us who were going had raved about the French food served here. What I ate was tastey though not necessarily up to the par the prices would indicate you would be getting for quality. It seemed more that you were paying for the atmosphere of the joint and the fact that you could see and be seen. For the price you pay for a simple soup and sandwich I'm not entirely convinced this place is worth a return visit--though as I said the food was tastey enough.,3,1,9/23/2006,VbNMQwizyLjSGeS8u70XIQ,104,169,0
